,quant,min_temp,max_temp,day-1,day-2,day-3,day-4,day-5,day-6,day-7,day-8,day-9,day-10
0,0,24.0,35.0,0,2956800,844800,0,1728000,0,0,460800,844800,0
1,5443200,23.0,31.0,0,0,2956800,844800,0,1728000,0,0,460800,844800
2,2112000,9.0,18.0,5443200,0,0,2956800,844800,0,1728000,0,0,460800
3,0,24.0,32.0,2112000,5443200,0,0,2956800,844800,0,1728000,0,0
4,0,24.0,32.0,0,2112000,5443200,0,0,2956800,844800,0,1728000,0
5,0,25.0,35.0,0,0,2112000,5443200,0,0,2956800,844800,0,1728000
6,0,26.0,36.0,0,0,0,2112000,5443200,0,0,2956800,844800,0
7,2534400,13.0,17.0,0,0,0,0,2112000,5443200,0,0,2956800,844800
8,0,25.0,35.0,2534400,0,0,0,0,2112000,5443200,0,0,2956800
9,0,26.0,35.0,0,2534400,0,0,0,0,2112000,5443200,0,0
10,0,25.0,36.0,0,0,2534400,0,0,0,0,2112000,5443200,0
11,0,28.0,37.0,0,0,0,2534400,0,0,0,0,2112000,5443200
12,0,27.0,37.0,0,0,0,0,2534400,0,0,0,0,2112000
13,864000,11.0,13.0,0,0,0,0,0,2534400,0,0,0,0
14,19200,9.0,16.0,864000,0,0,0,0,0,2534400,0,0,0
15,1276800,9.0,13.0,19200,864000,0,0,0,0,0,2534400,0,0
16,422400,7.0,16.0,1276800,19200,864000,0,0,0,0,0,2534400,0
17,0,29.0,39.0,422400,1276800,19200,864000,0,0,0,0,0,2534400
18,0,27.0,36.0,0,422400,1276800,19200,864000,0,0,0,0,0
19,3379200,9.0,17.0,0,0,422400,1276800,19200,864000,0,0,0,0
20,19996800,10.0,15.0,3379200,0,0,422400,1276800,19200,864000,0,0,0
21,0,28.0,34.0,19996800,3379200,0,0,422400,1276800,19200,864000,0,0
22,0,27.0,34.0,0,19996800,3379200,0,0,422400,1276800,19200,864000,0
23,422400,13.0,17.0,0,0,19996800,3379200,0,0,422400,1276800,19200,864000
24,0,25.0,33.0,422400,0,0,19996800,3379200,0,0,422400,1276800,19200
25,0,24.0,30.0,0,422400,0,0,19996800,3379200,0,0,422400,1276800
26,2150400,12.0,21.0,0,0,422400,0,0,19996800,3379200,0,0,422400
27,0,22.0,30.0,2150400,0,0,422400,0,0,19996800,3379200,0,0
28,844800,17.0,32.0,0,2150400,0,0,422400,0,0,19996800,3379200,0
29,460800,21.0,30.0,844800,0,2150400,0,0,422400,0,0,19996800,3379200
30,422400,23.0,31.0,460800,844800,0,2150400,0,0,422400,0,0,19996800
31,0,22.0,31.0,422400,460800,844800,0,2150400,0,0,422400,0,0
32,0,24.0,35.0,0,422400,460800,844800,0,2150400,0,0,422400,0
33,0,25.0,32.0,0,0,422400,460800,844800,0,2150400,0,0,422400
34,844800,9.0,16.0,0,0,0,422400,460800,844800,0,2150400,0,0
35,1267200,9.0,18.0,844800,0,0,0,422400,460800,844800,0,2150400,0
36,422400,11.0,20.0,1267200,844800,0,0,0,422400,460800,844800,0,2150400
37,9993600,10.0,17.0,422400,1267200,844800,0,0,0,422400,460800,844800,0
38,0,24.0,33.0,9993600,422400,1267200,844800,0,0,0,422400,460800,844800
39,0,25.0,35.0,0,9993600,422400,1267200,844800,0,0,0,422400,460800
40,422400,10.0,17.0,0,0,9993600,422400,1267200,844800,0,0,0,422400
41,892800,9.0,18.0,422400,0,0,9993600,422400,1267200,844800,0,0,0
42,460800,9.0,18.0,892800,422400,0,0,9993600,422400,1267200,844800,0,0
43,422400,10.0,17.0,460800,892800,422400,0,0,9993600,422400,1267200,844800,0
44,1804800,10.0,12.0,422400,460800,892800,422400,0,0,9993600,422400,1267200,844800
45,0,25.0,34.0,1804800,422400,460800,892800,422400,0,0,9993600,422400,1267200
46,0,24.0,33.0,0,1804800,422400,460800,892800,422400,0,0,9993600,422400
47,1305600,10.0,18.0,0,0,1804800,422400,460800,892800,422400,0,0,9993600
48,1766400,10.0,24.0,1305600,0,0,1804800,422400,460800,892800,422400,0,0
49,422400,13.0,21.0,1766400,1305600,0,0,1804800,422400,460800,892800,422400,0
50,844800,8.0,16.0,422400,1766400,1305600,0,0,1804800,422400,460800,892800,422400
51,1382400,12.0,16.0,844800,422400,1766400,1305600,0,0,1804800,422400,460800,892800
52,0,24.0,34.0,1382400,844800,422400,1766400,1305600,0,0,1804800,422400,460800
53,0,27.0,37.0,0,1382400,844800,422400,1766400,1305600,0,0,1804800,422400
54,0,29.0,37.0,0,0,1382400,844800,422400,1766400,1305600,0,0,1804800
55,2169600,16.0,26.0,0,0,0,1382400,844800,422400,1766400,1305600,0,0
56,1305600,17.0,24.0,2169600,0,0,0,1382400,844800,422400,1766400,1305600,0
57,0,29.0,34.0,1305600,2169600,0,0,0,1382400,844800,422400,1766400,1305600
58,0,27.0,33.0,0,1305600,2169600,0,0,0,1382400,844800,422400,1766400
59,0,28.0,37.0,0,0,1305600,2169600,0,0,0,1382400,844800,422400
60,0,28.0,36.0,0,0,0,1305600,2169600,0,0,0,1382400,844800
61,422400,9.0,17.0,0,0,0,0,1305600,2169600,0,0,0,1382400
62,1267200,11.0,18.0,422400,0,0,0,0,1305600,2169600,0,0,0
63,1689600,11.0,14.0,1267200,422400,0,0,0,0,1305600,2169600,0,0
64,1699200,9.0,19.0,1689600,1267200,422400,0,0,0,0,1305600,2169600,0
65,0,28.0,35.0,1699200,1689600,1267200,422400,0,0,0,0,1305600,2169600
66,0,28.0,35.0,0,1699200,1689600,1267200,422400,0,0,0,0,1305600
67,422400,10.0,17.0,0,0,1699200,1689600,1267200,422400,0,0,0,0
68,422400,10.0,22.0,422400,0,0,1699200,1689600,1267200,422400,0,0,0
69,422400,14.0,19.0,422400,422400,0,0,1699200,1689600,1267200,422400,0,0
70,0,25.0,31.0,422400,422400,422400,0,0,1699200,1689600,1267200,422400,0
